Year,Date,Observers,Site,Observation,Time,Visitor,Flowers per Plant,Total Visits
2012,2,2,Kebler Pass,10 MO,10,Butterfly,6,1
2012,1,2,Schofield/Vera Falls,10 MO,10,Solitary bee,17,3
2012,1,2,Vera Falls,10 MO,10,Hoverfly,10,2
2012,1,2,Vera Falls,10 MO,10,Hoverfly,4,2
2012,1,2,Vera Falls,10 MO,10,Hoverfly,7,2
2012,1,2,Vera Falls,10 MO,10,Hoverfly,7,1
2012,1,2,Vera Falls,10 MO,10,Hoverfly,6,1
2012,1,2,Vera Falls,10 MO,10,Hoverfly,12,1
2012,1,2,Vera Falls,10 MO,10,Hoverfly,6,1
2012,1,2,Vera Falls,10 MO,10,Hoverfly,5,1
2012,1,2,Kebler Pass,10 MO,10,Bumblebee,20,1
2012,2,1,End of Gothic Hill,10 MO,10,Hummingbird,n/a,9
2012,1,2,billy's Hilly Lower,10 MO,10,Butterfly,,
2012,1,2,Emerald Lake Upper,10 MO,10,Bumblebee,2,
2012,1,2,Long Lake Parking Lot 2,10 MO,10,Butterfly,,1
2012,1,2,Max Field Meadow Upper,10 MO,10,Hummingbird,,75
2012,2,2,Max Field Meadow Upper,10 MO,10,Hummingbird,,7
2012,2,2,Max Field Meadow Upper,10 MO,10,Hummingbird,,11
2012,2,2,Max Field Meadow Upper,10 MO,10,Butterfly,,
2012,1,2,Rosy Point Lower,10 MO,10,Solitary bee,4,
2012,1,2,Rosy Point Lower,10 MO,10,Butterfly,,
2012,1,2,Rosy Point Lower,10 MO,10,Butterfly,,
2012,1,2,Max Field Meadow Lower,10 MO,10,Hummingbird,,5
2012,1,2,Rosy Point Upper,10 MO,10,Bumblebee,,
2012,1,2,Rosy Point Upper,10 MO,10,Butterfly,,
2012,2,3,Avery Picnic Upper,10 MO,10,Hummingbird,,40
2012,2,3,Avery Picnic Upper,10 MO,10,Hoverfly,5,2
2012,2,3,Back of Baldy Bend,10 MO,10,Hoverfly,?,4
2012,2,3,Back of Baldy Bend,10 MO,10,Hoverfly,8,2
2012,2,3,Baldy Lunch,10 MO,10,Hummingbird,5,4
2012,2,3,Baldy Lunch,10 MO,10,Hummingbird,"12,6",12
2012,2,3,Bellview View,10 MO,10,Hummingbird,,92
2012,2,3,Bellview View,10 MO,10,Hummingbird,,8
2012,2,3,Bellview View,10 MO,10,Hummingbird,,5
2012,2,3,Up on dat hill,10 MO,10,Hummingbird,,50
2012,1,2,Vera Falls,SC 1,10,Hoverfly,10,1
2012,2,1,End of Gothic Hill,SC 1,10,Gnat?,11,
2012,2,1,End of Gothic Hill,SC 1,10,Other fly,15,
2012,1,2,billy's Hilly Lower,SC 1,10,Small insect,6,
2012,2,2,billy's Hilly Lower,SC 1,10,Solitary bee,2,1
2012,1,2,Long Lake Parking Lot 1,SC 1,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 1,SC 1,10,Hoverfly,,
2012,1,2,Long Lake Parking Lot 2,SC 1,10,Solitary bee,,4
2012,1,2,Max Field Meadow Upper,SC 1,10,Hummingbird,,23
2012,2,2,Ol' Dusty Road,SC 1,10,Other fly,3,
2012,2,2,Ol' Dusty Road,SC 1,10,Other fly,2,1
2012,1,2,billy's Hilly Upper,SC 1,10,Wasp,4,
2012,1,2,billy's Hilly Upper,SC 1,10,Wasp,11,
2012,1,2,Emerald Lake Lower,SC 1,10,Small insect,10,
2012,1,2,Long Lake Parking Lot 3,SC 1,10,Other fly,,11
2012,1,2,Long Lake Parking Lot 4,SC 1,10,Small insect,,
2012,1,2,Max Field Meadow Lower,SC 1,10,Small insect,,
2012,1,2,Max Field Meadow Lower,SC 1,10,Butterfly,,
2012,1,2,Max Field Meadow Lower,SC 1,10,Butterfly,,
2012,1,2,Max Field Meadow Lower,SC 1,10,Butterfly,,
2012,1,2,Max Field Meadow Lower,SC 1,10,Butterfly,,
2012,1,2,Vera Falls 2,SC 1,10,Hoverfly,3,2
2012,2,1,Avery Picnic Slope,SC 1,10,Gnat?,9,
2012,2,1,Avery Picnic Slope,SC 1,10,Hoverfly,3,1
2012,2,1,Avery Picnic Slope,SC 1,10,Hoverfly,2,1
2012,2,1,Avery Picnic Slope,SC 1,10,Wasp,17,1
2012,2,2,Max Field Meadow Lower,SC 1,10,Small insect,3,
2012,1,2,Rosy Point Upper,SC 1,10,Wasp,8,
2012,1,2,Rosy Point Upper,SC 1,10,Wasp,9,
2012,1,2,Rosy Point Upper,SC 1,10,Wasp,10,
2012,2,2,Emerald Lake Upper,SC 1,10,Hoverfly,25,1
2012,2,2,Emerald Lake Upper,SC 1,10,Wasp,32,
2012,1,3,Avery Picnic Slope,SC 1,10,Gnat?,7,
2012,1,3,Avery Picnic Slope,SC 1,10,Hoverfly,1,
2012,1,3,Avery Picnic Upper,SC 1,10,Other fly,3,
2012,1,3,Avery Picnic Upper,SC 1,10,Other fly,9,
2012,1,3,Avery Picnic Upper,SC 1,10,Other fly,5,
2012,2,3,Avery Picnic Upper,SC 1,10,Other fly,5,
2012,2,3,Avery Picnic Upper,SC 1,10,Solitary bee,5,1
2012,2,3,Avery Picnic Upper,SC 1,10,Hoverfly,9,1
2012,2,3,Back of Baldy Bend,SC 1,10,Hoverfly,"6,2",3
2012,1,3,Baldy Lunch,SC 1,10,Small insect,4,
2012,1,3,Baldy Lunch,SC 1,10,Other fly,2,
2012,1,3,Baldy Lunch,SC 1,10,Other fly,3,2
2012,1,3,Baldy Lunch,SC 1,10,Other fly,19,1
2012,1,3,Baldy Lunch,SC 1,10,Other fly,15,1
2012,1,3,Baldy Lunch,SC 1,10,Other fly,10,1
2012,2,3,Baldy Lunch,SC 1,10,Small insect,7,1
2012,1,3,Bellview Bench,SC 1,10,Gnat?,10,
2012,1,3,Bellview Bench,SC 1,10,Other fly,2,
2012,1,3,Bellview Bench,SC 1,10,Other fly,8,
2012,1,3,Bellview Bench,SC 1,10,Other fly,12,
2012,1,3,Bellview Bench,SC 1,10,Wasp,7,
2012,2,3,Bellview Bench,SC 1,10,Gnat?,11,
2012,2,3,Bellview Bench,SC 1,10,Hoverfly,5,1
2012,2,3,Bellview View,SC 1,10,Wasp,2,
2012,1,3,End of Gothic Hill,SC 1,10,Other fly,,
2012,1,3,End of Gothic Hill,SC 1,10,Wasp,10,1
2012,1,3,Ol' Dusty Road,SC 1,10,Gnat?,1,1
2012,1,3,Ol' Dusty Road,SC 1,10,Hoverfly,2,1
2012,1,3,Ol' Dusty Road,SC 1,10,Wasp,3,
2012,1,3,Up on dat hill,SC 1,10,Gnat?,,
2012,1,3,Up on dat hill,SC 1,10,Gnat?,,
2012,1,3,Up on dat hill,SC 1,10,Other fly,,
2012,1,3,Up on dat hill,SC 1,10,Wasp,,
2012,1,3,Up on dat hill,SC 1,10,Wasp,,
2012,2,3,Up on dat hill,SC 1,10,Other fly,5,1
2012,2,3,Up on dat hill,SC 1,10,Wasp,6,1
2012,2,2,Emerald Lake Lower,SC 1,10,Other fly,16,
2012,2,2,Emerald Lake Lower,SC 1,10,Gnat?,23,
2012,1,2,Schofield/Vera Falls,SC 1,10,Hoverfly,1,1
2012,1,2,Kebler Pass,SC 1,10,Hoverfly,10,1
2012,1,2,Kebler Pass,SC 1,10,Hoverfly,9,1
2012,1,2,Kebler Pass,SC 1,10,Hoverfly,12,1
2012,1,2,Kebler Pass,SC 1,10,Hoverfly,8,1
2012,1,2,Bellview View,SC 1,10,Other fly,6,
2012,1,2,Bellview View,SC 1,10,Other fly,10,
2012,1,2,Bellview View,SC 1,10,Wasp,6,
2012,2,1,End of Gothic Hill,SC 2,10,Gnat?,15,
2012,2,1,End of Gothic Hill,SC 2,10,Other fly,4,
2012,2,2,billy's Hilly Lower,SC 2,10,Solitary bee,9,1
2012,1,2,Emerald Lake Upper,SC 2,10,Hoverfly,,3
2012,1,2,Long Lake Parking Lot 2,SC 2,10,Other fly,,
2012,1,2,Long Lake Parking Lot 2,SC 2,10,Hummingbird,,1
2012,1,2,Max Field Meadow Upper,SC 2,10,Hoverfly,,
2012,2,2,Max Field Meadow Upper,SC 2,10,Other fly,2,
2012,2,2,Max Field Meadow Upper,SC 2,10,Hummingbird,,
2012,2,2,Max Field Meadow Upper,SC 2,10,Wasp,3,
2012,1,2,Rosy Point Lower,SC 2,10,Wasp,2,
2012,2,2,Ol' Dusty Road,SC 2,10,Gnat?,4,
2012,2,2,Ol' Dusty Road,SC 2,10,Gnat?,4,
2012,2,2,Ol' Dusty Road,SC 2,10,Gnat?,14,1
2012,2,2,Ol' Dusty Road,SC 2,10,Small insect,2,
2012,2,2,Ol' Dusty Road,SC 2,10,Small insect,3,
2012,2,2,Ol' Dusty Road,SC 2,10,Other fly,21,1
2012,2,2,Ol' Dusty Road,SC 2,10,Other fly,5,1
2012,2,2,Ol' Dusty Road,SC 2,10,Hoverfly,13,2
2012,2,2,Ol' Dusty Road,SC 2,10,Wasp,14,
2012,2,2,Ol' Dusty Road,SC 2,10,Wasp,8,
2012,2,2,Ol' Dusty Road,SC 2,10,Wasp,11,
2012,1,2,Emerald Lake Lower,SC 2,10,Other fly,19,1
2012,1,2,Emerald Lake Lower,SC 2,10,Hoverfly,19,1
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Other fly,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,2
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Solitary bee,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Small insect,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Other fly,,
2012,1,2,Long Lake Parking Lot 3,SC 2,10,Other fly,,
2012,1,2,Long Lake Parking Lot 4,SC 2,10,Small insect,,
2012,1,2,Long Lake Parking Lot 4,SC 2,10,Small insect,,
2012,1,2,Long Lake Parking Lot 4,SC 2,10,Other fly,,
2012,1,2,Max Field Meadow Lower,SC 2,10,Small insect,,
2012,1,2,Max Field Meadow Lower,SC 2,10,Hoverfly,,4
2012,1,2,Slate River 2,SC 2,10,Other fly,,
2012,1,2,Slate River 2,SC 2,10,Wasp,,1
2012,1,2,Slate River 2,SC 2,10,Wasp,,1
2012,1,2,Vera Falls 2,SC 2,10,Solitary bee,,
2012,2,1,Avery Picnic Slope,SC 2,10,Gnat?,19,1
2012,2,1,Avery Picnic Slope,SC 2,10,Gnat?,1,
2012,2,1,Avery Picnic Slope,SC 2,10,Gnat?,13,4
2012,2,1,Avery Picnic Slope,SC 2,10,Hoverfly,2,1
2012,1,1,Rosy Point Upper,SC 2,10,Small insect,16,1
2012,1,1,Rosy Point Upper,SC 2,10,Small insect,4,1
2012,1,1,Rosy Point Upper,SC 2,10,Wasp,1,1
2012,2,2,Max Field Meadow Lower,SC 2,10,Small insect,4,
2012,2,2,Max Field Meadow Lower,SC 2,10,Wasp,4,
2012,1,2,Rosy Point Upper,SC 2,10,Small insect,5,
2012,2,2,Emerald Lake Upper,SC 2,10,Butterfly,6,
2012,2,2,Emerald Lake Upper,SC 2,10,Wasp,54,
2012,2,2,Emerald Lake Upper,SC 2,10,Wasp,40,
